wkt_geom	fid	id	T_78to14	P_78to14
Point (-94.28799880000003952 38.19058129999999807)	271	270	0.02423	214.05066
Point (-94.28799880000003952 38.52391490000000118)	79	78	0.02423	174.04095
Point (-94.32966550000003281 38.4405815000000004)	126	125	0.02427	170.72595
Point (-93.78799840000012011 38.19058129999999807)	283	282	0.02435	246.26379
Point (-94.16299870000005967 38.48224820000000079)	106	105	0.02435	159.18176
Point (-93.70466500000013355 38.19058129999999807)	285	284	0.0244	252.23486
Point (-94.37133220000002609 38.39891480000000001)	149	148	0.02441	170.31219
Point (-94.24633210000004624 38.52391490000000118)	80	79	0.02443	157.17157
Point (-94.37133220000002609 38.52391490000000118)	77	76	0.02445	185.74713
Point (-93.62133160000014698 38.14891459999999768)	311	310	0.02454	277.97443
Point (-94.32966550000003281 38.39891480000000001)	150	149	0.02456	173.06659
Point (-94.32966550000003281 38.52391490000000118)	78	77	0.02456	188.38055
Point (-93.74633170000012683 38.19058129999999807)	284	283	0.02458	245.0202
Point (-93.87133180000010668 38.31558139999999923)	209	208	0.02458	168.32361
Point (-94.20466540000005295 38.52391490000000118)	81	80	0.02458	138.61322
Point (-93.62133160000014698 38.19058129999999807)	287	286	0.02459	250.33447
Point (-93.91299850000009997 38.35724809999999962)	184	183	0.02459	172.24316
Point (-93.66299830000014026 38.19058129999999807)	286	285	0.02461	256.70221
Point (-93.57966490000015369 38.23224799999999846)	264	263	0.02461	230.7406
Point (-94.41299890000001938 38.56558160000000157)	52	51	0.02461	177.82202
