Checked	Common_name	Code	Date_received	Location.x	Region	Ocean	Cause_of_death	What	Info_sent	Extracted	Info_requested	Other_info	Archiving_info	scrubbed_uoa_code	reconciled_alternate_code	UoA_Code	Species_subspecies	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB	reconciliation_notes	pathology_code	hologenome_region	collection_date_mod	broad_location	review
NA	Hector's dolphin	CheBP13	NA	Pegasus Bay, 50m N of Waimari beach surf club	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesbycatch, CSLP Observer programmeweight 30.4kgalternate code = CETOS 98111	NA	CHEBP13	NA	CheBP13	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	CETOS 9363	NA	M	C	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	12-Dec-1992	Pegasus Bay	OK
NA	Hector's dolphin	CheBP14	NA	Pegasus Bay, Motunau 1nm offshore in net	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 98105weight 27.8kg	NA	CHEBP14	NA	CheBP14	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	CETOS 8844	NA	F	C	15	no	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	4-Feb-1988	Pegasus Bay	OK
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHEBP15	NA	CheBP15	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CETOS 9578	NA	F	C	16	no	yes	Subspecies designation based on location	NA	NA	1994	NA	OK
NA	Hector's dolphin	CheBP16	NA	Pegasus Bay, Motunau	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 98109weight 28.9kg	NA	CHEBP16	NA	CheBP16	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	CETOS 9579	NA	F	J	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;collection_date_mod taken from DOC_Massey database because no date information available in NZCETA	NA	SI East Coast	1994	Pegasus Bay	OK
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHEBP17	NA	CheBP17	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CETOS 9580	NA	M	C	16	yes	yes	Subspecies designation based on location	NA	NA	1993	NA	OK
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHEBP18	NA	CheBP18	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CETOS 9582	NA	M	C	16	yes	yes	Subspecies designation based on location	NA	NA	1994	NA	OK
NA	Hector's dolphin	CheBP26	NA	Duvauchelle, Akaroa	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 98116weight 34.8kg	Two samples, one disposed. Massey code: WB98-25Ch	CHEBP26	NA	CheBP26	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	1.3	NA	Male	NA	NA	NA	NA	NA	MONZ 2019	CETOS 8610	NA	M	C	2	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;NZCETA had 'Jan-86' for Date_stranded	NA	SI East Coast	20-Jan-1986	Akaroa	OK
NA	Hector's dolphin	CheBP33	NA	Pegasus Bay, Church Bay, Lyttleton	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 98107weight 29.1kg	NA	CHEBP33	NA	CheBP33	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	1.005	NA	Unknown	NA	NA	NA	NA	NA	NA	CETOS 9589	NA	M	A	1	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	20-Mar-1995	Lyttelton	OK
NA	Hector's dolphin	CheBP40	NA	Pegasus Bay, Redcliffs, inside Christchurch estuary	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 98106weight 33.3kg	NA	CHEBP40	NA	CheBP40	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 95090	NA	M	C	15	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	24-Oct-1995	Pegasus Bay	OK
NA	Hector's dolphin	CheBP41	NA	Pegasus Bay, 1km north of Ashley river mouth	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesweight 27.2kgalternate code = CETOS 98113	NA	CHEBP41	NA	CheBP41	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 96100	NA	M	C	13	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	11-Jan-1996	Pegasus Bay	OK
NA	Hector's dolphin	CheBP42	NA	Pegasus Bay, Amberley Beach	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's noteslarge chunks missing, shark? also knife cuts?weight 13kg, part carcassalternate code = CETOS 98110	NA	CHEBP42	NA	CheBP42	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	CETOS 96101	NA	M	C	19	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;collection_date_mod taken from DOC_Massey database because no date information available in NZCETA	NA	SI East Coast	1996	Pegasus Bay	OK
Yes	Hector's dolphin	CheBP50	NA	NA	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesbeachcast with net marksTL = 1.095malternate code = H31/00	No lable. The H code was unclear but H031 was the best I could read which matches this sample. Massey code: None	CHEBP50	NA	CheBP50	Cephalorhynchus hectori hectori	44 S	171 E	bycaught	NA	NA	NA	7y	Male	NA	NA	NA	NA	WB98-18Ch	NA	CETOS 98112	29383	M	C	13	yes	yes	"NA"	NA	SI East Coast	17-Feb-1998	Canterbury	OK
NA	Hector's dolphin	CheBP51	NA	NA	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesbeachcast TL = 0.845malternate code = H29/00	NA	CHEBP51	NA	CheBP51	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 98108	NA	M	J	13	yes	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;collection_date_mod taken from DOC_Massey database because no date information available in NZCETA	NA	SI East Coast	1998	Canterbury	OK
Yes	Hector's dolphin	CheBP52	NA	NA	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesbeachcast calfTL = 0.88malternate code = H33/00	NA	CHEBP52	NA	CheBP52	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 98115	NA	M	C	13	yes	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;collection_date_mod taken from DOC_Massey database because no date information available in NZCETA	NA	SI East Coast	1998	Canterbury	OK
Yes	Hector's dolphin	CheBP53 (H15/98)	NA	Leithfield Beach, 200m north of Saltwater Creek, Pegasus Bay	Canterbury	Pacific	NA	NA	NA	NA	NA	from cards on Kirsty's desk, Franz's notesnetmarksweight 28.2kgalternate code = CETOS 98114	No data available. No H code. Eneterd to the database by Sahar. Massey code: None	CHEBP53	NA	CheBP53	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	5y	Male	NA	H15/98	NA	NA	WB98-21Ch	NA	CETOS 98114	29386	M	C	12	yes	no	Other_info originally associated with CheBP12, changed based on DOC_Massey	H015	SI East Coast	4-Feb-1998	Pegasus Bay	OK
NA	Hector's dolphin	CheBP54	NA	NA	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesnettedalternate code = CETOS 9162	NA	CHEBP54	NA	CheBP54	Cephalorhynchus hectori hectori	44 S	171 E	bycatch	NA	NA	NA	3y	Male	NA	NA	NA	NA	WB98-22Ch	NA	CETOS 98111	29387	M	C	13	yes	no	"NA"	NA	SI East Coast	19-Jan-1998	Canterbury	OK
NA	Hector's dolphin	CheBP55	NA	Gore Bay, near Pegasus bay	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesTL = 144.2cmalternate code = CETOS 8735	NA	CHEBP55	NA	CheBP55	Cephalorhynchus hectori hectori	NA	NA	entangled in set net	NA	NA	NA	1y	Male	NA	H17/98	NA	NA	WB98-23Ch	NA	CETOS 98105	29388	M	C	12	yes	no	NZCETA had '18/02/1998' for Date_stranded	H017	SI East Coast	8-Feb-1998	Pegasus Bay	OK
NA	Hector's dolphin	CheBP56	NA	Leithfield beach; Pegasus Bay	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes1 tooth, charredalternate code = VT167	NA	CHEBP56	NA	CheBP56	Cephalorhynchus hectori hectori	NA	NA	beachcast adjacent to set net	NA	NA	NA	5y	Male	NA	H13/98	NA	NA	WB98-24Ch	NA	CETOS 98109	29389	M	C	1	yes	no	"NA"	H013	SI East Coast	2-Jan-1998	Pegasus Bay	OK
Yes	Hector's dolphin	CheBP57 (H18/98)	NA	Woodend Beach, Pegasus Bay	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes1 toothalternate code = VT172	NA	CHEBP57	NA	CheBP57	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	5y	Female	NA	H18/98	NA	NA	WB98-25Ch	NA	CETOS 98116	29390	F	Cb1	1	yes	no	NZCETA made this observation of Sex 'Male'	H018	SI East Coast	12-Feb-1998	Pegasus Bay	OK
NA	Hector's dolphin	CheBP58	NA	Leithfield beach; Pegasus Bay	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9474	NA	CHEBP58	NA	CheBP58	Cephalorhynchus hectori hectori	NA	NA	beachcast adjacent to set net	NA	NA	NA	3y	Male	NA	H12/98	NA	NA	WB98-26Ch	NA	CETOS 98107	29391	M	C	1	yes	no	collection_date_mod taken from DOC_Massey database because no date information available in NZCETA	H012	SI East Coast	2-Jan-1998	Pegasus Bay	OK
NA	Hector's dolphin	CheBP59	NA	Saltwater Creek, 320m north of mouth, Pegasus Bay	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesfrozen tissuealternate code = CETOS 9475	NA	CHEBP59	NA	CheBP59	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	4y	Male	NA	H14/98	NA	NA	WB98-27Ch	NA	CETOS 98106	29392	M	E	1	yes	no	collection_date_mod taken from DOC_Massey database because no date information available in NZCETA	H014	SI East Coast	4-Jan-1998	Pegasus Bay	OK
NA	Hector's dolphin	CheBP60	NA	Gore Bay, Pegasus Bay	Canterbury	Pacific	NA	NA	NA	NA	NA	NA	No data available. No H code. Added to the database by Sahar. Massey code: None	CHEBP60	NA	CheBP60	Cephalorhynchus hectori hectori	NA	NA	entangled in set net	NA	NA	NA	3y	Male	NA	H16/98	NA	NA	WB98-28Ch	NA	CETOS 98113	29393	M	J	1	yes	no	collection_date_mod taken from DOC_Massey database because no date information available in NZCETA	H016	SI East Coast	8-Feb-1998	Pegasus Bay	OK
NA	Hector's dolphin	CheBP61	NA	2 nautical miles off Sumner Head; Pegasus Bay	Canterbury	Pacific	NA	NA	NA	NA	NA	NA	No H code. Eneterd to the database by Sahar. Massey code: None	CHEBP61	NA	CheBP61	Cephalorhynchus hectori hectori	NA	NA	entangled in set net	NA	NA	NA	3y	Unknown	NA	H19/98	NA	NA	WB98-29Ch	NA	CETOS 98110	29394	M	E	12	yes	no	DOC_Massey made this observation of Sex_observed 'unknown (scavenged)';collection_date_mod taken from DOC_Massey database because no date information available in NZCETA	H019	SI East Coast	16-Jan-1998	Pegasus Bay	OK
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHECT03-01	NA	CheCt03-01	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	Ia	18	yes	yes	Subspecies designation based on location	NA	NA	15-Feb-2003	NA	OK
NA	Hector's dolphin	CheDu01	NA	Waikouaiti Beach, Dunedin	Otago	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.alternate code = CETOS 9373	NA	CHEDU01	NA	CheDU01	Cephalorhynchus hectori hectori	NA	NA	beachcast	Steve Dawson & Liz Slooten	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	CETOS 9162	NA	M	C	6	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	13-Sep-1991	Dunedin	OK
NA	Hector's dolphin	CheDu02	NA	Oamaru, Otago	Otago	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.old female	NA	CHEDU02	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	22-Jul-1985	Otago	OK
NA	Hector's dolphin	CheDu03	NA	Waitaki River Mouth, Otago	Otago	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.TL=1.39mtooth sample from taranaki museum A71-765	NA	CHEDU03	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	1-May-1934	Otago	OK
NA	Hector's dolphin	CheDu04	NA	Waikouaiti Beach, Dunedin	Otago	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.dried skin and teeth from taranaki museum A78.570TL = 1.595m	NA	CHEDU04	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	8-Apr-2005	Dunedin	OK
Yes	Hector's dolphin	CheKk	NA	Kaikoura	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.foetus of NI16alternate code = massey WS97.59Ch	NA	CHEKK	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	9-Jan-2002	Kaikoura	OK
NA	Hector's dolphin	CheKk01	NA	Kaikoura	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.juvenile TL = 82cm, umbilical cord still oozing blood foetal folds present dorsal not straight	NA	CHEKK01	NA	CheKK01	Cephalorhynchus hectori hectori	NA	NA	beachcast	Liz Slooten	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9474	NA	M	C	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	16-Mar-1994	Kaikoura	OK
NA	Hector's dolphin	CheKk02	NA	Kaikoura	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.pregnany with NI17 blunt trauma injuries under chinalternate code = massey WS97.58Ch	NA	CHEKK02	NA	CheKK02	Cephalorhynchus hectori hectori	NA	NA	beachcast	Liz Slooten	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9475	NA	M	F	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	17-Aug-1994	Kaikoura	OK
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHEKK03	NA	CheKK03	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CETOS 9577	NA	M	C	15	yes	yes	Subspecies designation based on location	NA	NA	1994	NA	OK
Yes	Maui dolphin	Chem06NZ02 (H125/06; U06-129)	Nov-06	North of Surf Club, Sunset Beach, just to the south of the Waikato River mouth, Port Waikato	Waikato	Tasman	NA	Confirmation of species required	NA	Yes	Yes	Neonatepossible common dolphin also known as Dde21confirmed common Debbie Oct 03	NA	CHEM06NZ02	NA	Chem06NZ02	Cephalorhynchus hectori maui	-37.3905	174.70817	beachcast	Garry Hickman	Waikato/Hamilton	0.76	neonate/foetus (never breathed)	Male	NA	H125/06	410	NA	WS06-22Chh	NA	NA	39485	M	G	24	no	no	NZCETA made this observation of Sex 'Unknown'	H125	Maui	13-Nov-2006	Waikato	OK
Yes	Maui dolphin	Chem06NZ04 (H127/06; U06-190)	Dec-06	4 - 5 km north of Karioitahi Beach, Waiuku, South Auckland	Auckland	Tasman	NA	Species ID requestedConfirmation of sex	NA	Yes	NA	Washed up on rocky reef at Hightide markSex confirmed as male by genetic analysis, Debbie June 02ID confirmed cytb seq Debbie Apr 03	NA	CHEM06NZ04	NA	Chem06NZ04	Cephalorhynchus hectori maui	-37.28423	174.65421	beachcast	Karl McLeod	Auckland	1.56	adult	Female	NA	H127/06	412	NA	WS06-26Ch	NA	NA	39589	F	G	28	no	no	NZCETA had a Date_stranded of '03/12/2006', one day before Collection_Date of DOC_Massey	H127	Maui	4-Dec-2006	Auckland	OK
Yes	Maui dolphin	Chem06NZ05 (H128/06; U06-191)	Dec-06	4 - 5 km north of Karioitahi Beach, Waiuku, South Auckland	Auckland	Tasman	NA	NA	NA	Yes	NA	DoC#H149/07T.L. = 143cm	Two samples, one disposed. Massey code: None	CHEM06NZ05	NA	Chem06NZ05	Cephalorhynchus hectori maui	-37.28423	174.65421	beachcast	Karl McLeod	Auckland	0.78	neonate/juvenile	Female	NA	H128/06	413	NA	WS06-25Ch	NA	NA	39588	F	G	24	no	no	common and species names modified based on DOC_Massey;NZCETA had '03/12/2006' for Date_stranded. This might reflect a single day delay between stranding and collection	H128	Maui	4-Dec-2006	Auckland	OK
Yes	Maui dolphin	Chem07NZ01 (H153/07; U07-113)	Nov-07	480 metres east of Manu Bay boat ramp, Raglan	Waikato	Tasman	NA	NA	NA	Yes	NA	Photocopy of photos attachedID confirmed cytb seq, Debbie Apr 03	NA	CHEM07NZ01	NA	Chem07NZ01	Cephalorhynchus hectori maui	-37.823	174.8193	beachcast	Garry Hickman	Waikato	1.58	adult-mature	Female	NA	H153-07	450	NA	NA	NA	NA	41043	F	G	28	no	no	"NA"	H153	Maui	10-Nov-2007	Waikato	OK
Yes	Maui dolphin	Chem07NZ09 (H140/07; U07-057)	Mar-07	Ngarunui Beach, Raglan (few 100 metres north of surf club)	Waikato	Tasman	NA	NA	NA	Yes	NA	Cookie cutter shark marksSpecies confirmation requiredId confirmed cytb seq, Debbie Apr 03.	Two samples, one disposed.	CHEM07NZ09	NA	Chem07NZ09	Cephalorhynchus hectori maui	-43.81447	174.8304	beachcast	Garry Hickman & Sietse Bouma	Waikato	1.52	adult	Female	NA	H140/07	425	NA	W07-12Ch	NA	NA	39924	F	G	28	no	no	DOC_Massey made this observation of Sex_observed 'unknown - probably female (genitals scavenged)'	H140	Maui	9-Mar-2007	Waikato	OK
Yes	Maui dolphin	Chem10NZ06 (H202/10; U10-169)	NA	Raglan, floating ~500m off Indicators Point	Waikato	Tasman	NA	NA	NA	Yes	NA	Photo's taken, see KarlTL 1.74mConfirm species id and sexSex confirmed Debbie Aug o2Id confirmed, cytb seq, Debbie Apr 03	NA	CHEM10NZ06	NA	Chem10NZ06	Cephalorhynchus hectori maui	-37.82130556	174.79175	beachcast (floating)	Gary Hickman & Dion Patterson	Waikato	1.22	subadult	Male	NA	H202/10	504	NA	W10-07Chh	NA	NA	45670	M	G	27	no	no	"NA"	H202	Maui	20-Nov-2010	Waikato	OK
Yes	Maui dolphin	Chem13NZ01 (H243/13; U13-046)	NA	Ripiro Beach, south of Glinks Gully, Dargaville, Northland	Northland	Tasman	NA	NA	NA	Yes	NA	Photo's takenTL 2mID confirmed, cytb seq, Debbie Apr 03.	Two samples, one disposed.	CHEM13NZ01	NA	Chem13NZ01	Cephalorhynchus hectori maui	N6558104	E2594545	beachcast	Anja Meduna	Dargaville	1.51	adult	Female	not pregnant (evidence of previous pregnancies)	H243/13	NA	NA	W13-17Ch	NA	NA	NA	F	NA	21	no	no	NZCETA made this observation of Sex 'Unknown'	H243	Maui	13-Sep-2013	Northland	OK
Yes	Uncertain	CheMoNZ1610	NA	NA	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.calf	NA	CHEMONZ1610	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	NA	NA	7-Oct-1996	NA	OK
NA	Uncertain	CheND02	NA	NA	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes. heavy body-wall contusionsalternate code = massey 29718	NA	CHEND02	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	NA	NA	NA	NA	OK
NA	Hector's dolphin	CheND12	NA	Maia, Dunedin	NA	NA	NA	NA	NA	No	NA	TL 1.4m	NA	CHEND12	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	8-May-2005	Dunedin	OK
NA	Hector's dolphin	CheNe02	NA	Port Underwood, near Cloudy Bay	NA	NA	NA	NA	NA	No	NA	TL 1.1m	NA	CHENE02	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	17-Jan-1980	Cloudy Bay	OK
Yes	Maui dolphin	CheNI01	NA	Southern end Karekare Beach, Nth Auckland (Manukau Heads)	Auckland	Tasman	NA	NA	NA	No	NA	TL .79m	Massey code: WB02-02Chh	CHENI001	NA	CheNI001	Cephalorhynchus hectori maui	-36.9869	174.4701	beachcast	Jo Ritchie	Auckland (South Auckland)	NA	adult	Female	pregnant	N/A	187	NA	NA	NA	CETOS 9373	9473 (9397?)	F	G	16	yes	yes	common and species names modified based on DOC_Massey	NA	Maui	26-Aug-1993	Auckland	OK
NA	Maui dolphin	CheNI02	NA	Taharoa Beach, South Auckland	NA	Tasman	NA	NA	NA	No	NA	TL 0.66m, badly decomposed animal	NA	CHENI002	NA	CheNI002	Cephalorhynchus hectori maui	-38.1797	174.7057	beachcast	NA	Waikato (South Auckland)	NA	NA	Female	NA	N/A	217	NA	NA	NA	NA	NA	F	G	6	no	no	common and species names modified based on DOC_Massey;Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	Maui	16-May-1995	Waikato	OK
NA	Maui dolphin	CheNI04	NA	Tongaporutu River, Taranaki	Taranaki	Tasman	NA	NA	NA	No	NA	TL 0.79m, decomposed animal	NA	CHENI004	NA	CheNI004	Cephalorhynchus hectori maui	-38.8151	174.5837	museum, beachcast	Taranaki Museum	Wanganui (Taranaki)	1.39	NA	Male	NA	N/A	128	A71-765	NA	NA	NA	NA	M	G	0	no	no	common and species names modified based on DOC_Massey;Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	Maui	27-Sep-1988	Taranaki	OK
NA	Maui dolphin	CheNI07	NA	Waiiti Beach, Taranaki	Taranaki	Tasman	NA	NA	NA	No	NA	TL 1.34m,	NA	CHENI007	NA	CheNI007	Cephalorhynchus hectori maui	NA	NA	museum, beachcast	Taranaki Museum	Northland	1.595	NA	Unknown	NA	N/A	37	A78-570	NA	NA	NA	NA	M	G	2	no	no	common and species names modified based on DOC_Massey;Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	Maui	26-Jan-1979	Taranaki	OK
NA	Uncertain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHENI011	NA	CheNI011	Cephalorhynchus hectori ?	NA	NA	stuffed dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	G	0	no	no	Not enough information to determine subspecies	NA	NA	1921	NA	OK
NA	Maui dolphin	CheNI12	NA	Muriwai Beach, North Auckland	Auckland	Tasman	NA	NA	NA	No	NA	TL 1.39m, net marks around melon, 2 of 2	NA	CHENI012	NA	CheNI012	Cephalorhynchus hectori maui	NA	NA	beachcast	NA	NA	0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	G	16	yes	yes	common and species names modified based on DOC_Massey	NA	Maui	20-Nov-1995	Auckland	OK
NA	Maui dolphin	CheNI16	NA	Muriwai Beach, 12 miles mark, North Auckland	Auckland	Tasman	NA	NA	NA	No	NA	TL 1.27m, net marks around melon and rostrum, in flukes and flippers, tooth rakes around melon, 1 of 2	NA	CHENI016	NA	CheNI016	Cephalorhynchus hectori maui	-36.7217	174.3546	beachcast	Simon Mowbray	Auckland (North Auckland)	NA	adult	Female	pregnant	N/A	249	NA	WS97.58Ch (WS97-58aChm)	NA	NA	NA	F	G	17	yes	yes	common and species names modified based on DOC_Massey;NZCETA had '01/11/1997' for Date_stranded	NA	Maui	25-Nov-1997	Auckland	OK
NA	Maui dolphin	CheNI17	NA	Muriwai Beach, 12 miles mark, North Auckland	Auckland	Tasman	NA	NA	NA	No	NA	TL 1.07m	NA	CHENI017	NA	CheNI017	Cephalorhynchus hectori maui	-36.7217	174.3546	beachcast	Simon Mowbray	Auckland (North Auckland)	NA	foetus	NA	NA	N/A	NA	NA	WS97.59Ch	NA	NA	NA	F	G	13	yes	yes	common and species names modified based on DOC_Massey;NZCETA had '01/11/1997' for Date_stranded	NA	Maui	25-Nov-1997	Auckland	OK
